IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
964156,0.93319505,0.16422646,-0.1965262,0.83875614,0.6989263,0.06945861
965512,0.9298405,0.14468957,-0.41718426,0.75694543,0.60801345,0.056457773
966004,0.8778938,0.15870447,0.6892424,0.3892855,0.3191264,0.047295067
966047,0.89168143,0.62521183,-0.41461974,1.1504687,0.9485663,0.17169325
966051,0.8132649,0.06422115,0.20886298,0.11801693,0.077218994,0.023297805
966909,0.8648395,0.091534555,-0.96556413,0.26870203,0.23593406,0.031669024
967144,0.8310052,0.090279415,0.50296503,0.17803685,0.1398302,0.030482132
967215,0.8683576,0.09438958,-0.8188904,0.30790302,0.24926567,0.030929225
967485,0.89113086,0.099323824,0.47198766,0.39819726,0.32408085,0.035668943
967866,0.88641685,0.22795504,0.5389858,0.5963085,0.4879543,0.08371448
968578,0.82084745,0.09781695,-0.8311138,0.18670164,0.15424736,0.03526887
968792,0.8460412,0.08185234,-0.6997285,0.20391421,0.15130708,0.024838313
969242,0.8313465,0.066895925,-0.06858879,0.16776638,0.13713236,0.025011616
969340,0.8774533,0.0782076,0.10983746,0.33911675,0.27923438,0.028961986
969364,0.84723806,0.097363934,-0.53494406,0.2269093,0.18126084,0.03372464
969684,0.840084,0.13467695,-1.025045,0.24504237,0.19745006,0.040575363
969744,0.8888859,0.14589082,-0.2326724,0.5200354,0.4371272,0.05881921
969855,0.87072146,0.09214173,-0.15991332,0.32004514,0.2808005,0.035169736
970018,0.84717405,0.08862417,0.948508,0.22729135,0.164614,0.028910704
970091,0.8697072,0.20827928,-0.7662466,0.4623189,0.37075797,0.07242895
970214,0.8487292,0.0685429,0.6156201,0.21151604,0.18167345,0.026668807
970770,0.89380234,0.11543276,-1.4769297,0.402234,0.3405458,0.04074933
971334,0.82401085,0.10286222,-0.06640842,0.15435989,0.12816526,0.031025002
971440,0.8187665,0.06694256,-0.03759849,0.15899989,0.11592265,0.027349377
971577,0.83305883,0.10246198,0.18834592,0.16829368,0.13779747,0.030788857
971779,0.8263699,0.07211503,0.11380247,0.11644074,0.089712605,0.0228937
972231,0.8395783,0.09909809,0.24932143,0.24854435,0.18735836,0.039314345
972235,0.86486757,0.23170084,-0.2247845,0.5038673,0.40035242,0.08056809
972352,0.86952674,0.16922244,-0.6345423,0.4418336,0.34768653,0.05936603
972382,0.8443035,0.09077605,-1.1295714,0.16829301,0.11409523,0.02275172
972410,0.8276648,0.082567245,0.48848146,0.17338906,0.13645093,0.030593518
972412,0.85599345,0.107337035,-0.72169125,0.2918884,0.23324382,0.040766325
972433,0.92953026,0.20782669,0.46790922,0.94568056,0.8375192,0.08460543
972471,0.89194715,0.10579087,-0.123169534,0.43511784,0.3484161,0.03697487
972550,0.9134969,0.10512013,-0.47227308,0.55058956,0.49346313,0.044717554
972585,0.9248029,0.119837746,0.835723,0.59314966,0.49120164,0.04404838
972608,0.83459234,0.09162705,-0.5881343,0.18121637,0.13667357,0.028578827
972740,0.9258333,0.10514681,-1.8156418,0.53061503,0.47156444,0.03835896
973065,0.94476724,0.5654109,0.74485016,1.9830642,1.6885493,0.18112789
973225,0.8499893,0.15577662,-0.89260715,0.3011913,0.24665664,0.0602884
973276,0.85022163,0.09286263,0.06927234,0.2624997,0.21173874,0.039274834
973356,0.8952681,0.15241,-1.0666044,0.5491177,0.4462807,0.06145205
973458,0.92860967,0.39142442,0.7036733,1.2897741,1.0613698,0.12549803
973496,0.9811716,0.16000615,-2.5172799,1.5917523,1.5178672,0.05576804
973708,0.96728057,0.3102914,-1.3262804,1.7458851,1.6633191,0.109341815
973843,0.83006173,0.084934704,0.2846326,0.14216332,0.1191389,0.026986845
973896,0.861263,0.1132317,0.11611656,0.34181613,0.26059398,0.047419555
974106,0.92606974,0.2489605,-0.36957526,0.96907824,0.83286935,0.088541426
974187,0.8429329,0.8346602,0.40792522,0.89185584,0.6614625,0.22309168
974217,0.8428799,0.10179854,-0.7939197,0.17258976,0.1245727,0.026598195
974241,0.8353851,0.07686404,0.42847735,0.17829792,0.1280147,0.029875241
974295,0.81493574,0.08039985,-0.25634423,0.11378836,0.089271724,0.024307046
974337,0.8307387,0.06963345,-0.50263727,0.1661102,0.12099848,0.023951318
974406,0.90026754,0.55541533,0.9144749,1.1739628,0.94726574,0.17539938
974604,0.8100749,0.060521834,-0.4703763,0.08640609,0.07367,0.022082856
974795,0.895657,0.0752195,-0.83693385,0.4325614,0.3576356,0.02772119
975356,0.8360213,0.09496981,-0.46727958,0.19903983,0.14732993,0.03312052
975381,0.83424,0.07661417,-0.2820694,0.092063524,0.075122245,0.01897004
975696,0.89607424,0.32255042,-0.6751127,0.7795054,0.645358,0.105794266
976140,0.9102854,0.12626684,-0.87625885,0.5442067,0.45050249,0.044566702
976152,0.8195436,0.08082709,-0.27296454,0.14821461,0.11339865,0.02862875
976614,0.92579424,0.15394437,-1.2758919,0.71263355,0.555707,0.06187329
976932,0.9040858,0.1813137,0.548361,0.643703,0.49090555,0.058837146
977249,0.8121922,0.0752938,0.21106075,0.11623663,0.096608624,0.026822507
977374,0.90222025,0.1535257,-0.9834636,0.54276645,0.4469207,0.05729094
978290,0.88166106,0.112777196,-0.87960833,0.36514002,0.2989851,0.037092388
979523,0.8148115,0.059342396,-0.39635658,0.12639126,0.08590945,0.02020132
979791,0.8498324,0.11232572,-0.012426282,0.25454456,0.18404062,0.03844381
980324,0.84739435,0.14795798,-0.20889539,0.27687338,0.20616055,0.044222306
981984,0.82578886,0.08339038,-0.38185796,0.15150294,0.10984828,0.027670339
982296,0.83176005,0.08371486,-0.99885005,0.13239355,0.103072226,0.026536986
982316,0.8950631,0.13897134,-0.28656602,0.5295288,0.4300452,0.05393389
982404,0.939135,0.104388356,-0.050674815,0.75061303,0.6867884,0.044313915
982442,0.84614664,0.07668799,-0.58666915,0.23685098,0.17707358,0.03150043
982693,0.8488263,0.102322444,0.32674566,0.24976604,0.204565,0.03179471
983044,0.8468521,0.08177154,-0.28078327,0.27324727,0.22215624,0.030290408
983545,0.87651247,0.22114901,-0.58000845,0.54652625,0.4480266,0.08342058
983866,0.8593307,0.07527119,-1.6420559,0.18324655,0.13523325,0.020272281
983911,0.89821553,0.08455861,-2.0682402,0.3238384,0.30540422,0.02155191
984204,0.8291616,0.082988545,-0.35619134,0.14883612,0.11414204,0.02993298
984212,0.8735483,0.095577225,-1.9519415,0.23106866,0.18699242,0.03078794
984214,0.8044812,0.075090036,-0.15978043,0.09882754,0.07741112,0.029238705
984218,0.83969545,0.084592015,-0.09332908,0.15337014,0.11972684,0.024080986
984230,0.8633505,0.09264571,-0.8176319,0.28666356,0.24233909,0.033275742
984337,0.850245,0.08410147,0.84012634,0.23241705,0.19704479,0.026513232
984377,0.8469288,0.09110182,-0.9708824,0.19546698,0.15847746,0.0322692
984514,0.86769116,0.10797521,-0.08457309,0.34751046,0.30983806,0.04403881
984798,0.8493885,0.09813065,-0.5032344,0.23615804,0.20704691,0.028760461
985153,0.82903916,0.10862263,-0.5845498,0.21753775,0.17192233,0.039141454
985205,0.8680523,0.10274823,-0.19848257,0.31964603,0.26091307,0.038149398
985216,0.8910523,0.09020938,-0.9383089,0.38159794,0.2909835,0.031219278
985936,0.8437347,0.09503214,-0.7281216,0.2690917,0.19614676,0.03527478
987475,0.8340374,0.07726804,-0.29984978,0.12839861,0.08787314,0.021937776
988163,0.8286141,0.092512734,-0.10204679,0.15644243,0.12604463,0.030028937
988880,0.877937,0.08889791,0.055101708,0.35442433,0.2825004,0.029852113
989292,0.827445,0.08022017,-0.09384518,0.15071486,0.13240783,0.024418266
989613,0.86098343,0.13703227,-0.31168067,0.32634977,0.27037737,0.04937292
989614,0.8692635,0.15884203,-1.0315713,0.39108527,0.33560365,0.05559323
989638,0.8901941,0.1589183,0.112775326,0.55313134,0.41286278,0.04947284
990171,0.87812287,0.10202189,-0.6903409,0.3586456,0.2974568,0.0394587
990377,0.89284223,0.112806045,0.36795983,0.4714789,0.4012716,0.047547758
990502,0.88248014,0.1887653,0.47543314,0.5317244,0.3906095,0.06611515
990840,0.942164,0.45399207,-0.5217271,1.601538,1.2660393,0.14590275
991011,0.9140856,1.6868361,-2.0187714,1.8274599,1.5241671,0.33529216
