mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.2222837,0.47737765,0.5700715,0.9702299,0.028521458,-0.0049692304,0.22961934,-0.07540373,0.9900489,1.0595006,1.0343854,9.87886e-05,0.0026508996,3.6876434e-05,3.1802305e-05,0.001716479,0.0018403108,0.0018160339,0.00088899286,0.00092801737,0.0008556657,0.20361027,0.2428503,0.3800773,0.578376,0.48808536,0.65050375,0.9617724,0.9840004,0.018933453,0.04034543,-0.0840521,0.07714337,0.1493097,0.31434703,-0.16048332,0.006556787,0.93278146,1.0514829,1.0004039,1.1215026,0.97777915,1.0919027,0.9642606,0.020786619,-0.013628717,0.21798417,-0.0757964,0.9473095,1.0473387,1.0119103,210,663
0.24656993,0.47384268,0.5258483,0.9723958,0.033850834,-0.0137175005,0.20976843,-0.011471991,1.0244846,1.0239128,1.0052286,0.00020512425,0.004234297,5.00604e-05,2.5909332e-05,0.0016285127,0.0016847152,0.0015618113,0.000912927,0.0009779155,0.0009352025,0.22026384,0.2767266,0.34325477,0.5997666,0.4347842,0.623518,0.96214974,0.9896414,0.025431788,0.044798445,-0.09682649,0.067903794,0.13141657,0.28925484,-0.086700976,0.06282424,0.9698434,1.0833932,0.9664167,1.0903676,0.9453806,1.0652635,0.96468985,0.020038001,-0.00981628,0.2136908,-0.045446444,0.9919639,0.98088104,0.9910688,210,663
0.23523393,0.44009385,0.55451494,0.96660453,0.027498646,0.00047098187,0.25113973,-0.17145285,1.0217724,0.9704263,0.9882642,0.00019232226,0.0022868828,4.275885e-05,4.58525e-05,0.0016584916,0.0015575507,0.001510957,0.0009411566,0.0008487347,0.0007857074,0.21124566,0.26478016,0.35666806,0.53954375,0.47229958,0.6353806,0.9585962,0.984051,0.016330644,0.042964157,-0.0783276,0.07795614,0.1754257,0.3274002,-0.2451937,-0.09509541,0.9670257,1.08712,0.91469836,1.028781,0.9330279,1.0418099,0.96386665,0.021257024,0.0042415434,0.24086083,-0.17127618,1.0175486,0.9670094,0.9874678,210,663
0.22699223,0.6440103,0.5878418,0.9623838,0.018598378,-0.028459456,0.16746156,-0.1540789,1.0521866,0.9955516,1.0868372,0.00014006795,0.004009907,6.2084164e-06,8.001249e-06,0.0019115855,0.0015917609,0.001817859,0.0009622372,0.0008984387,0.0010849166,0.20740622,0.25286397,0.5232968,0.7739066,0.47788513,0.676729,0.95810467,0.96704066,0.013883612,0.024393076,-0.110045224,0.05409725,0.09038308,0.24625538,-0.2430589,-0.07334435,0.9939629,1.1140432,0.9368841,1.0551097,1.0238339,1.1542767,0.9669652,0.019495206,-0.02110601,0.17064169,-0.13549297,1.0163798,0.97015065,1.0543723,210,663
0.20630574,0.45278415,0.5657351,0.96689,0.021805452,-0.07022109,0.21169357,-0.058697414,0.96675605,0.98614883,1.0327294,0.00015078086,0.003357848,1.6383176e-05,3.2007767e-05,0.0015110844,0.0015664619,0.0017879532,0.0008433111,0.0009090759,0.0009684692,0.18401755,0.23167107,0.34094876,0.562731,0.4936565,0.6542832,0.96140456,0.9772831,0.013404098,0.034246847,-0.1441776,0.0039506448,0.13137321,0.28825024,-0.14727671,0.024310157,0.9126519,1.0277166,0.9300357,1.0480949,0.9744644,1.0968437,0.964522,0.021284431,-0.06772307,0.21622486,-0.04766838,0.9681135,0.9860091,1.0296066,210,663
0.22551109,0.6813681,0.51408416,0.97368085,0.038938116,0.06745315,0.19874458,-0.054492854,1.0571479,1.020582,0.9987317,0.00015091167,0.01824671,7.711314e-05,4.0499148e-05,0.0017824632,0.0016289467,0.0016424479,0.00096288114,0.0009191076,0.0008408839,0.20562369,0.25289345,0.51019716,1.038055,0.43245354,0.59839934,0.9592316,0.9931072,0.028587662,0.051822655,-0.018805651,0.14727595,0.11805057,0.27640593,-0.13321975,0.024214324,0.99544847,1.1181793,0.9663382,1.0855472,0.9467071,1.0560869,0.96338904,0.021266382,0.07425426,0.1994054,-0.06438997,1.0332273,0.99708235,0.9766195,210,663
0.20332532,0.51651216,0.5685411,0.96612227,0.021018097,-0.055504512,0.13968346,-0.04456237,0.9930156,1.0420269,0.97688895,8.846172e-05,0.007818094,4.7971394e-06,1.1106824e-05,0.0014709268,0.001787846,0.0014965124,0.00086649007,0.0009793033,0.0008365432,0.18609247,0.22393435,0.3415877,0.6850832,0.4827732,0.65350425,0.9621586,0.97093403,0.015595018,0.029106684,-0.12536591,0.022620905,0.05251596,0.21963039,-0.118969016,0.028339094,0.93703926,1.0512102,0.9846369,1.105731,0.9207648,1.0345376,0.96406424,0.022246825,-0.0608716,0.13796541,-0.04618387,0.97038364,1.0071006,0.9634909,210,663
0.24039063,0.34204492,0.50725126,0.97642034,0.03652989,-0.11129474,0.24802461,-0.126783,1.0526975,0.98493904,1.0217667,0.00031028094,0.0013200913,7.8319805e-05,4.1431118e-05,0.0017029772,0.0012911519,0.0016674655,0.0010082152,0.00090367155,0.0009889787,0.20628114,0.27387586,0.27486825,0.41218832,0.4260869,0.5940609,0.9607046,0.993557,0.025836248,0.050950155,-0.18997048,-0.03096599,0.17663994,0.31933168,-0.20646366,-0.04997473,0.9947787,1.1156973,0.9285895,1.0440855,0.9591444,1.0835186,0.963976,0.020811375,-0.1201956,0.24400075,-0.12367417,1.0226916,0.9644008,1.0013335,210,663
0.2201703,0.55386126,0.5029771,0.9764522,0.031114547,-0.097310185,0.17622934,-0.057142682,0.98630446,1.0257866,1.0173507,0.00010359891,0.0063065668,5.393429e-05,3.553701e-05,0.0013826472,0.0017265745,0.0016650315,0.0007495485,0.0009684301,0.0009453758,0.20192233,0.24216057,0.43416068,0.7316756,0.41436,0.59614426,0.96536016,0.9929971,0.020122692,0.04181374,-0.17203066,-0.023612402,0.09741315,0.25475135,-0.1406388,0.019418053,0.93623894,1.0416983,0.9679864,1.0889282,0.96013933,1.081624,0.9646881,0.02133674,-0.10031794,0.17174226,-0.07886873,0.9742826,0.9977684,0.9950939,210,663
0.22808816,0.5513926,0.60002625,0.9647393,0.018492134,-0.08353789,0.17434809,-0.043819092,0.9464826,1.0375162,1.024432,0.00010326495,0.0074405978,5.482062e-06,1.4885621e-05,0.0013301426,0.001614633,0.0015847295,0.00073910586,0.0009385581,0.0008631242,0.2093957,0.2472336,0.38521457,0.7217962,0.5048696,0.6937415,0.96000385,0.9692727,0.011592895,0.026886327,-0.15215997,-0.011411275,0.097849384,0.252283,-0.12345885,0.034342125,0.89526975,1.002589,0.98125404,1.0980049,0.9701805,1.0854656,0.96648693,0.018947981,-0.0703043,0.17563878,-0.0373932,0.93749046,1.0402693,0.9892065,210,663
