IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
1235753,0.8941496,0.09485486,-0.6499936,0.2732814,0.22311163,0.043096974
1235754,0.90369195,0.15442443,-0.33571768,0.5413607,0.43751645,0.07278747
1235759,0.8991112,0.08587793,-0.13869663,0.31630623,0.25222716,0.03091999
1235760,0.8906829,0.09322016,-0.7272353,0.20803495,0.1750313,0.041341268
1235762,0.8984564,0.094860435,-0.15191987,0.35359463,0.30524877,0.044224128
1235763,0.90559995,0.13736239,-0.99003726,0.4799708,0.40718952,0.04936464
1235776,0.9093096,0.12969488,-1.072971,0.4801268,0.4001726,0.050175805
2046838,0.89202505,0.091187246,-0.2962384,0.257121,0.18556137,0.038715743
2057094,0.90656716,0.07448596,-0.9952241,0.49485114,0.35628113,0.03517274
2058944,0.91296715,0.12293761,0.22500563,0.58110625,0.5056365,0.051736247
2062497,0.91071063,0.16135073,-0.44379044,0.61045545,0.50697565,0.06411234
2067206,0.9231491,0.539719,-1.5259677,1.3028924,1.1044459,0.17899749
2076673,0.90015894,0.11982114,-0.08104841,0.4152339,0.34747827,0.044928584
2077270,0.8991474,0.08606378,-0.19305602,0.3225734,0.25458258,0.028973091
2077319,0.91890156,0.16031331,-0.007894208,0.77132183,0.570623,0.07483447
2078058,0.8911025,0.084238455,-0.65035844,0.20040105,0.16630737,0.03438461
2078871,0.90018827,0.08129317,0.15454881,0.32266322,0.2890207,0.027147446
2081677,0.89295536,0.09739738,0.7961141,0.22453542,0.17139451,0.034825858
2082809,0.891085,0.07953948,-0.46217445,0.21403939,0.17302012,0.030657012
2085260,0.92360246,0.14810261,0.5557275,0.74792266,0.64870226,0.060670387
2085773,0.89150465,0.06340941,-0.0523078,0.16427337,0.13621946,0.022923555
2086903,0.8890979,0.065592505,0.29615253,0.17793429,0.14272042,0.026587369
2093099,0.8879138,0.10757509,0.039319254,0.27369753,0.22616096,0.052332964
2097059,0.899959,0.07872328,0.71850127,0.33260223,0.2856395,0.030303624
2098224,0.9039055,0.10572048,0.7649162,0.46216875,0.3820536,0.04509538
2106754,0.89633626,0.11825434,0.47504157,0.30523548,0.24386495,0.039315093
2111320,0.9103662,0.15060836,-0.1525601,0.6120144,0.51244944,0.06356101
2121905,0.908617,0.10805206,-1.1569335,0.4566876,0.39779943,0.042565312
2122391,0.8965509,0.16651663,-0.15352875,0.45096716,0.38396105,0.06740127
2125731,0.90281075,0.21735825,-1.0579251,0.584294,0.44772348,0.09029419
2126504,0.8971733,0.08750913,-0.113254935,0.28931063,0.23539916,0.030552616
2126684,0.9148866,0.23254728,-0.39025846,0.77716357,0.66472936,0.08209542
2126839,0.9139651,0.08812615,-0.98830134,0.42641848,0.3522781,0.030937795
2126843,0.8911379,0.06636474,-0.16969544,0.17279609,0.14291197,0.027946858
2127171,0.91557246,0.108901784,-0.3325922,0.56795686,0.5000832,0.045363843
2128553,0.9078946,0.1426332,-0.5746644,0.5818993,0.5119629,0.06940982
2134070,0.8879932,0.053629942,0.20791502,0.12727225,0.10432148,0.020763384
2134697,0.8926242,0.0762562,-0.5963559,0.17231587,0.13467798,0.02519822
2135561,0.9097062,0.08306482,-0.18788633,0.46001217,0.39371604,0.033952735
2137062,0.90942806,0.11758068,-1.1736585,0.40835094,0.348683,0.045203652
2146099,0.90229195,0.11952701,0.57069635,0.43341133,0.35144314,0.050495468
2160238,0.890175,0.080256835,-0.17978854,0.18345243,0.14771079,0.032476787
2166643,0.902302,0.18615799,0.5813924,0.62152296,0.5412977,0.08789534
2168796,0.8993638,0.15397313,-0.21733803,0.5085236,0.44125548,0.059172884
2170315,0.91534907,0.15868497,-0.99856323,0.67370886,0.5897402,0.05722926
2170622,0.91355115,0.257675,-0.8124801,0.877447,0.7538348,0.0921412
2175599,0.90598124,0.3759117,-0.5388682,0.9962935,0.858835,0.13971578
2209358,0.89499617,0.08795504,-0.75804585,0.24310979,0.19834471,0.029439555
