IDcode,Age,Sex,Trial,Response,Stimulus,Confidence
4676332,28,1,76,0,-72,6
4676332,28,1,77,1,56,6
4676332,28,1,78,1,8,4
4676332,28,1,79,0,-56,3
4676332,28,1,80,1,64,6
4676332,28,1,81,0,-56,6
4676332,28,1,82,1,64,5
4676332,28,1,83,1,72,6
4676332,28,1,84,0,-56,6
4676332,28,1,85,0,-40,6
4676332,28,1,86,0,16,4
4676332,28,1,87,0,-16,5
4676332,28,1,88,1,40,3
4676332,28,1,89,1,24,4
4676332,28,1,90,1,-16,3
4676332,28,1,91,0,-72,6
4676332,28,1,92,0,-72,6
4676332,28,1,93,0,-8,6
4676332,28,1,94,0,-24,6
4676332,28,1,95,1,48,4
4676332,28,1,96,0,-24,5
4676332,28,1,97,0,8,4
4676332,28,1,98,1,32,2
4676332,28,1,99,0,-16,3
4676332,28,1,100,0,-72,6
4676332,28,1,101,0,0,3
4676332,28,1,102,0,-48,6
4676332,28,1,103,1,-48,2
4676332,28,1,104,1,32,2
4676332,28,1,105,0,-48,5
4676332,28,1,106,0,8,3
4676332,28,1,107,0,-40,6
4676332,28,1,108,1,64,5
4676332,28,1,109,0,-64,6
4676332,28,1,110,0,-32,6
4676332,28,1,111,0,0,6
4676332,28,1,112,0,-24,6
4676332,28,1,113,1,40,4
4676332,28,1,114,1,48,3
4676332,28,1,115,0,8,2
4676332,28,1,116,1,56,5
4676332,28,1,117,1,72,6
4676332,28,1,118,1,-24,2
4676332,28,1,119,0,32,2
4676332,28,1,120,0,-56,6
4676332,28,1,121,1,24,2
4676332,28,1,122,0,-8,4
4676332,28,1,123,1,24,4
4676332,28,1,124,1,56,5
4676332,28,1,125,0,-64,5
4676332,28,1,126,0,-8,3
4676332,28,1,127,1,72,5
4676332,28,1,128,0,-40,4
4676332,28,1,129,0,-40,6
4676332,28,1,130,0,-8,6
4676332,28,1,131,0,-48,6
4676332,28,1,132,1,16,2
4676332,28,1,133,0,-64,6
4676332,28,1,134,0,16,1
4676332,28,1,135,0,-16,5
4676332,28,1,136,0,-72,6
4676332,28,1,137,1,48,3
4676332,28,1,138,0,16,3
4676332,28,1,139,1,40,2
4676332,28,1,140,0,-32,3
4676332,28,1,141,0,-32,4
4676332,28,1,142,1,32,5
4676332,28,1,143,1,48,5
4676332,28,1,144,0,-64,6
4676332,28,1,145,1,0,5
4676332,28,1,146,1,72,6
4676332,28,1,147,0,-32,5
4676332,28,1,148,1,40,6
4676332,28,1,149,1,56,5
4676332,28,1,150,1,24,6
4676332,28,1,151,1,0,5
4676332,28,1,152,1,64,6
4676373,19,1,1,1,48,4
4676373,19,1,2,0,-32,5
4676373,19,1,3,1,32,4
4676373,19,1,4,0,-72,5
4676373,19,1,5,1,32,4
4676373,19,1,6,0,-72,5
4676373,19,1,7,0,16,5
4676373,19,1,8,1,72,5
4676373,19,1,9,0,-16,6
4676373,19,1,10,1,64,4
4676373,19,1,11,0,-56,6
4676373,19,1,12,0,-24,6
4676373,19,1,13,1,72,5
4676373,19,1,14,0,32,3
4676373,19,1,15,1,16,3
4676373,19,1,16,0,-24,5
4676373,19,1,17,0,-16,4
4676373,19,1,18,1,56,5
4676373,19,1,19,0,-40,6
4676373,19,1,20,0,-64,6
4676373,19,1,21,0,-64,5
4676373,19,1,22,1,56,4
4676373,19,1,23,1,56,4
4676373,19,1,24,1,48,4
4676373,19,1,25,0,-8,4
4676373,19,1,26,1,48,2
4676373,19,1,27,1,72,3
4676373,19,1,28,0,-56,5
4676373,19,1,29,0,-8,5
4676373,19,1,30,0,-8,5
4676373,19,1,31,1,64,3
4676373,19,1,32,0,-56,5
4676373,19,1,33,1,56,5
4676373,19,1,34,0,-40,4
4676373,19,1,35,0,-32,5
4676373,19,1,36,0,0,2
4676373,19,1,37,1,16,2
4676373,19,1,38,0,0,2
4676373,19,1,39,0,-72,6
4676373,19,1,40,0,24,5
4676373,19,1,41,1,40,5
4676373,19,1,42,0,-48,5
4676373,19,1,43,0,-48,5
4676373,19,1,44,0,0,4
4676373,19,1,45,0,-32,4
4676373,19,1,46,0,-64,5
4676373,19,1,47,0,32,4
4676373,19,1,48,0,40,5
4676373,19,1,49,1,64,2
4676373,19,1,50,0,24,2
4676373,19,1,51,1,72,2
4676373,19,1,52,0,24,2
4676373,19,1,53,0,-40,5
4676373,19,1,54,0,0,5
4676373,19,1,55,0,-24,5
4676373,19,1,56,0,-40,5
4676373,19,1,57,1,8,2
4676373,19,1,58,0,-72,5
4676373,19,1,59,1,40,4
4676373,19,1,60,0,-56,5
4676373,19,1,61,0,24,5
4676373,19,1,62,0,8,3
4676373,19,1,63,0,-24,4
4676373,19,1,64,0,-48,5
4676373,19,1,65,1,64,5
4676373,19,1,66,1,40,5
4676373,19,1,67,0,-16,5
4676373,19,1,68,0,16,4
4676373,19,1,69,0,-16,4
4676373,19,1,70,0,48,5
4676373,19,1,71,0,-8,5
4676373,19,1,72,0,-48,5
4676373,19,1,73,0,8,5
4676373,19,1,74,0,-32,5
4676373,19,1,75,0,-64,5
4676373,19,1,76,0,8,4
4676373,19,1,77,1,32,4
4676373,19,1,78,0,-48,5
